Ensembl_ID	Gene_symbol	contrast	type	dir	n_datasets	datasets	mean_log2FC	max_padj
ENSG00000184916	JAG2	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.7473589828801215	0.007382967561159376
ENSG00000184916	JAG2	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.658684276176845	6.564326550204032e-4
ENSG00000184956	MUC6	F3_vs_F0	baseline	up	2	GSE130970,GSE135251	1.4796967239334808	0.035431099318256935
ENSG00000184956	MUC6	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.7546620949013763	0.0051215707380459505
ENSG00000184956	MUC6	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.9414256120032667	0.01631647120365755
ENSG00000185022	MAFF	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.953318907925331	0.03874667595743624
ENSG00000185022	MAFF	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	2.0426475496631658	0.006727938675407307
ENSG00000185052	SLC24A3	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.790697288530187	0.007770979674360753
ENSG00000185052	SLC24A3	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.8073082230490769	0.008327677793180438
ENSG00000185052	SLC24A3	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	0.7338340675435973	0.017745445626035857
ENSG00000185088	RPS27L	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.7772772266933714	8.706248332905659e-5
ENSG00000185101	ANO9	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.3839304480934496	0.014613378998541737
ENSG00000185112	FAM43A	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.983787715748149	0.011283507456444962
ENSG00000185215	TNFAIP2	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.8930141373128198	0.003002371227287308
ENSG00000185215	TNFAIP2	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.7029015226988535	0.0202952378055777
ENSG00000185222	TCEAL9	F3_vs_F0	baseline	up	2	GSE130970,GSE135251	0.6619161793761801	0.005771499528494353
ENSG00000185222	TCEAL9	F4_vs_F0	baseline	up	3	GSE130970,GSE135251,GSE162694	1.263414410988703	0.022332824577818922
ENSG00000185222	TCEAL9	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.059422715528048	8.080854262347212e-6
ENSG00000185222	TCEAL9	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	0.7782076337188014	0.0010074074446230425
ENSG00000185274	GALNT17	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	2.0388665366602163	7.652028470200942e-6
